Rating,Reviews,Star Rating,Price,city_Banglore,city_Chennai,city_Delhi,city_Hyderabad,city_Kolkata,city_Mumbai,Rating Description_Average,Rating Description_Excellent,Rating Description_Good,Rating Description_Poor,Rating Description_Very Good,Hotel Name,Location,Nearest Landmark,Distance to Landmark,taxi_Start,taxi_Km
4.3,2744,5,7932,False,False,False,False,False,True,False,True,False,False,False,Holiday Inn Mumbai International Airport,Near Mumbai Airport ,Chhatrapati Shivaji International Airport,3000,29.0,30.0
3.9,1376,3,1027,False,False,False,False,False,True,False,False,False,False,True,goSTOPS Mumbai - Rooms & Dorms,South Mumbai,Chhatrapati Shivaji International Airport,2200,29.0,30.0
4.1,4946,3,5359,False,False,False,False,False,True,False,False,False,False,True,The Regale by Tunga,Andheri East ,Chhatrapati Shivaji International Airport,3600,29.0,30.0
4.5,4222,5,13254,False,False,False,False,False,True,False,True,False,False,False,"Taj Lands End, Mumbai",Bandra West ,Chhatrapati Shivaji International Airport,8600,29.0,30.0
4.1,7206,5,9231,False,False,False,False,False,True,False,False,False,False,True,"Ramada Plaza By Wyndham Palm Grove, Juhu, Mumbai",Juhu ,Chhatrapati Shivaji International Airport,5800,29.0,30.0
4.2,7303,5,12272,False,False,False,False,False,True,False,False,False,False,True,Sahara Star,Near Mumbai Airport ,Chhatrapati Shivaji International Airport,760,29.0,30.0
3.8,632,3,1501,False,False,False,False,False,True,False,False,False,False,True,Qubestay Airport Capsule Hostel | Rooms & Dorms,Andheri East ,Chhatrapati Shivaji International Airport,3600,29.0,30.0
4.3,1829,5,8105,False,False,False,False,False,True,False,True,False,False,False,Courtyard by Marriott Mumbai International Airport,Near Mumbai Airport ,Chhatrapati Shivaji International Airport,3300,29.0,30.0
4.4,1431,5,9608,False,False,False,False,False,True,False,True,False,False,False,The Westin Mumbai Garden City,Goregaon ,Chhatrapati Shivaji International Airport,9500,29.0,30.0
4.4,1731,5,13072,False,False,False,False,False,True,False,True,False,False,False,JW Marriott Mumbai Juhu,Juhu ,Chhatrapati Shivaji International Airport,5500,29.0,30.0
4.4,4680,5,10642,False,False,False,False,False,True,False,True,False,False,False,ITC Maratha - A Luxury Collection Hotel,Near Mumbai Airport ,Chhatrapati Shivaji International Airport,1400,29.0,30.0
4.6,214,3,1599,False,False,False,False,False,True,False,True,False,False,False,City Stay,Andheri East ,Chhatrapati Shivaji International Airport,3700,29.0,30.0
4.5,2139,5,10490,False,False,False,False,False,True,False,True,False,False,False,JW Marriott Mumbai Sahar,Near Mumbai Airport ,Chhatrapati Shivaji International Airport,1200,29.0,30.0
4.3,3609,5,7855,False,False,False,False,False,True,False,True,False,False,False,Radisson Mumbai Andheri MIDC,Andheri East ,Chhatrapati Shivaji International Airport,4100,29.0,30.0
4.3,2276,5,10089,False,False,False,False,False,True,False,True,False,False,False,Sofitel Mumbai BKC- Luxury Brand by Accor,Bandra Kurla Complex ,Chhatrapati Shivaji International Airport,7600,29.0,30.0
4.5,2861,5,11114,False,False,False,False,False,True,False,True,False,False,False,The Leela Mumbai,Near Mumbai Airport ,Chhatrapati Shivaji International Airport,1700,29.0,30.0
4.4,102,5,8919,False,False,False,False,False,True,False,True,False,False,False,Novotel Mumbai International Airport,Near Mumbai Airport ,Chhatrapati Shivaji International Airport,1800,29.0,30.0
4.4,2166,5,8489,False,False,False,False,False,True,False,True,False,False,False,Radisson Blu Mumbai International Airport,Near Mumbai Airport ,Chhatrapati Shivaji International Airport,2100,29.0,30.0
4.2,2353,5,11495,False,False,False,False,False,True,False,False,False,False,True,Sun-N-Sand,Juhu ,Chhatrapati Shivaji International Airport,5800,29.0,30.0
4.5,1328,5,13628,False,False,False,False,False,True,False,True,False,False,False,The St. Regis Mumbai,South Mumbai ,Chhatrapati Shivaji International Airport,18400,29.0,30.0
4.0,1443,4,11804,False,False,False,False,False,True,False,False,False,False,True,Niranta Airport Transit Hotel & Lounge Terminal 2 Arrivals/Landside,In Mumbai Airport ,Netaji Subhash Chandra Bose International Airport,4700,29.0,30.0
4.4,2510,5,11648,False,False,False,False,False,True,False,True,False,False,False,"President, Mumbai - IHCL SeleQtions",South Mumbai ,Chhatrapati Shivaji International Airport,25400,29.0,30.0
3.6,2306,5,9032,False,False,False,False,False,True,False,False,False,False,True,Novotel Mumbai Juhu Beach,Juhu ,Chhatrapati Shivaji International Airport,5600,29.0,30.0
3.6,1990,3,7209,False,False,False,False,False,True,False,False,False,False,True,Ibis Mumbai Airport - An Accor Brand,Near Mumbai Airport ,Chhatrapati Shivaji International Airport,680,29.0,30.0
3.4,2721,3,3650,False,False,False,False,False,True,False,False,True,False,False,"Ginger Mumbai, Andheri (MIDC)",Jogeshwari East ,Chhatrapati Shivaji International Airport,5300,29.0,30.0
4.1,362,4,9495,False,False,False,False,False,True,False,False,False,False,True,Lakeside Chalet Marriott Executive Apartments,Powai ,Chhatrapati Shivaji International Airport,6500,29.0,30.0
3.3,324,4,6781,False,False,False,False,False,True,False,False,True,False,False,"Lemon Tree Hotel, Kalina, Mumbai",Bandra Kurla Complex ,Chhatrapati Shivaji International Airport,6700,29.0,30.0
3.6,3162,4,6705,False,False,False,False,False,True,False,False,False,False,True,Ramee Guestline Hotel Juhu,Juhu ,Chhatrapati Shivaji International Airport,5700,29.0,30.0
4.0,1173,4,7504,False,False,False,False,False,True,False,False,False,False,True,Ramee Techome,Khar West ,Chhatrapati Shivaji International Airport,5200,29.0,30.0
3.5,216,3,1659,False,False,False,False,False,True,False,False,False,False,True,Shabana,Colaba ,Chhatrapati Shivaji International Airport,28000,29.0,30.0
4.0,1817,3,6251,False,False,False,False,False,True,False,False,False,False,True,Hotel Bawa International,Near Mumbai Airport ,Chhatrapati Shivaji International Airport,810,29.0,30.0
3.8,478,4,3917,False,False,False,False,False,True,False,False,False,False,True,"Ginger Mumbai, Goregaon",Goregaon ,Chhatrapati Shivaji International Airport,8500,29.0,30.0
4.3,1855,5,12260,False,False,False,False,False,True,False,True,False,False,False,Grand Hyatt Mumbai,Near Mumbai Airport ,Chhatrapati Shivaji International Airport,3700,29.0,30.0
4.2,1292,5,11150,False,False,False,False,False,True,False,False,False,False,True,Hotel Marine Plaza,Churchgate ,Chhatrapati Shivaji International Airport,23270,29.0,30.0
4.2,5001,5,4860,False,False,False,False,False,True,False,False,False,False,True,"Lemon Tree Premier, Mumbai International Airport, Mumbai",Near Mumbai Airport ,Chhatrapati Shivaji International Airport,2300,29.0,30.0
3.7,3139,3,4025,False,False,False,False,False,True,False,False,False,False,True,Hotel Airport International,Near Mumbai Airport ,Chhatrapati Shivaji International Airport,780,29.0,30.0
3.5,906,4,3970,False,False,False,False,False,True,False,False,False,False,True,Dragonfly Hotel - The Art Hotel,Near Mumbai Airport ,Chhatrapati Shivaji International Airport,3100,29.0,30.0
4.4,1863,5,50267,False,False,False,False,False,True,False,True,False,False,False,Four Seasons Hotel Mumbai,South Mumbai,Chhatrapati Shivaji International Airport,3200,29.0,30.0
3.2,356,4,2334,False,False,False,False,False,True,False,False,True,False,False,Gateway Inn | Rooms in an Apartment,Near Mumbai Airport ,Chhatrapati Shivaji International Airport,2300,29.0,30.0
4.7,876,5,17491,False,False,False,False,False,True,False,True,False,False,False,"The Oberoi, Mumbai",Marine Drive ,Chhatrapati Shivaji International Airport,23420,29.0,30.0
4.2,1539,3,2688,False,False,False,False,False,True,False,False,False,False,True,Hotel Jyoti Dwelling,Near Mumbai Airport ,Chhatrapati Shivaji International Airport,3200,29.0,30.0
3.9,1406,3,8400,False,False,False,False,False,True,False,False,False,False,True,Indie Stays,Bandra Kurla Complex ,Chhatrapati Shivaji International Airport,5800,29.0,30.0
4.4,2189,5,9020,False,False,False,False,False,True,False,True,False,False,False,Meluha - The Fern,Powai ,Chhatrapati Shivaji International Airport,7200,29.0,30.0
4.8,4,3,1076,False,False,False,False,False,True,False,True,False,False,False,Afra dormitory,Andheri East ,Chhatrapati Shivaji International Airport,3300,29.0,30.0
3.8,387,3,4002,False,False,False,False,False,True,False,False,False,False,True,Hotel Airlink,Near Mumbai Airport ,Chhatrapati Shivaji International Airport,950,29.0,30.0
4.2,1842,5,10393,False,False,False,False,False,True,False,False,False,False,True,The Fern Goregaon,Goregaon ,Chhatrapati Shivaji International Airport,8900,29.0,30.0
4.1,1820,4,7377,False,False,False,False,False,True,False,False,False,False,True,Mirage Hotel,Near Mumbai Airport ,Chhatrapati Shivaji International Airport,1700,29.0,30.0
3.3,834,3,5237,False,False,False,False,False,True,False,False,True,False,False,Click Hotel Caliph,Powai ,Chhatrapati Shivaji International Airport,5400,29.0,30.0
3.7,1387,3,3910,False,False,False,False,False,True,False,False,False,False,True,HOTEL LEAFIO MARIGOLD,Near Mumbai Airport ,Chhatrapati Shivaji International Airport,2200,29.0,30.0
3.5,1528,3,4911,False,False,False,False,False,True,False,False,False,False,True,"Keys Select by Lemon Tree Hotels, Nestor, Mumbai",Andheri East ,Chhatrapati Shivaji International Airport,3000,29.0,30.0
4.1,1762,5,10090,False,False,False,False,False,True,False,False,False,False,True,Hotel Sea Princess,Juhu ,Chhatrapati Shivaji International Airport,5600,29.0,30.0
4.1,1335,3,4623,False,False,False,False,False,True,False,False,False,False,True,HOTEL WEGO,Near Mumbai Airport ,Chhatrapati Shivaji International Airport,2200,29.0,30.0
4.4,795,3,10148,False,False,False,False,False,True,False,True,False,False,False,Rodas - An Ecotel Hotel,Powai ,Chhatrapati Shivaji International Airport,7000,29.0,30.0
4.3,1282,5,10115,False,False,False,False,False,True,False,True,False,False,False,The Westin Mumbai Powai Lake,Powai ,Chhatrapati Shivaji International Airport,6700,29.0,30.0
4.2,143,3,1914,False,False,False,False,False,True,False,False,False,False,True,Mayura Aureole Co-Living,Goregaon ,Chhatrapati Shivaji International Airport,8400,29.0,30.0
3.8,1203,3,5957,False,False,False,False,False,True,False,False,False,False,True,Sea Green Hotel,Churchgate ,Chhatrapati Shivaji International Airport,23450,29.0,30.0
3.9,327,4,6683,False,False,False,False,False,True,False,False,False,False,True,ibis Mumbai Vikhroli - An Accor Brand,Vikhroli West ,Chhatrapati Shivaji International Airport,9500,29.0,30.0
3.3,798,3,4059,False,False,False,False,False,True,False,False,True,False,False,Aboo's Concord Galaxy,Near Mumbai Airport ,Chhatrapati Shivaji International Airport,1900,29.0,30.0
4.0,1202,3,7288,False,False,False,False,False,True,False,False,False,False,True,The Paradise by Tunga,Andheri East ,Chhatrapati Shivaji International Airport,3400,29.0,30.0
4.0,240,3,517,False,False,False,False,False,True,False,False,False,False,True,Address Dormitory,Andheri East ,Chhatrapati Shivaji International Airport,3200,29.0,30.0
3.8,135,3,3749,False,False,False,False,False,True,False,False,False,False,True,Arnna Hotel - Goregaon,Goregaon ,Chhatrapati Shivaji International Airport,7900,29.0,30.0
4.1,774,4,8426,False,False,False,False,False,True,False,False,False,False,True,Ramee Guestline Hotel - Dadar,South Mumbai,Chhatrapati Shivaji International Airport,24900,29.0,30.0
3.6,1167,3,4559,False,False,False,False,False,True,False,False,False,False,True,Hotel Metro Palace,Bandra West ,Chhatrapati Shivaji International Airport,5800,29.0,30.0
3.5,1566,3,3905,False,False,False,False,False,True,False,False,False,False,True,Hotel Manama,South Mumbai ,Chhatrapati Shivaji International Airport,29200,29.0,30.0
3.1,277,3,806,False,False,False,False,False,True,False,False,True,False,False,Aashiyana Dormitory,South Mumbai ,Chhatrapati Shivaji International Airport,29300,29.0,30.0
4.0,2465,4,5584,False,False,False,False,False,True,False,False,False,False,True,T24 Residency,Near Mumbai Airport ,Chhatrapati Shivaji International Airport,2000,29.0,30.0
4.7,802,5,27831,False,False,False,False,False,True,False,True,False,False,False,"The Taj Mahal Palace, Mumbai",Colaba ,Chhatrapati Shivaji International Airport,27180,29.0,30.0
3.7,1300,3,3584,False,False,False,False,False,True,False,False,False,False,True,The Roa Hotel,Ghatkopar West ,Chhatrapati Shivaji International Airport,5500,29.0,30.0
3.5,1919,3,2463,False,False,False,False,False,True,False,False,False,False,True,Hotel Leafio,Near Mumbai Airport ,Chhatrapati Shivaji International Airport,3100,29.0,30.0
3.8,419,3,4086,False,False,False,False,False,True,False,False,False,False,True,The Byke Delotel,Borivali West,Chhatrapati Shivaji International Airport,5150,29.0,30.0
3.8,701,4,9557,False,False,False,False,False,True,False,False,False,False,True,The Empresa Hotel,Andheri West ,Chhatrapati Shivaji International Airport,7600,29.0,30.0
3.8,592,3,4714,False,False,False,False,False,True,False,False,False,False,True,HOTEL KOHINOOR PARK,South Mumbai ,Chhatrapati Shivaji International Airport,13700,29.0,30.0
3.6,1257,3,3474,False,False,False,False,False,True,False,False,False,False,True,The Altruist Business Hotel (Andheri),Jogeshwari East ,Chhatrapati Shivaji International Airport,4500,29.0,30.0
3.7,3158,3,5888,False,False,False,False,False,True,False,False,False,False,True,Hotel Parle International,Near Mumbai Airport ,Chhatrapati Shivaji International Airport,1900,29.0,30.0
3.6,67,3,1174,False,False,False,False,False,True,False,False,False,False,True,Ocean Dormitory,Asalpha ,Chhatrapati Shivaji International Airport,3700,29.0,30.0
3.2,955,4,4451,False,False,False,False,False,True,False,False,True,False,False,Hotel Beacon T2,Near Mumbai Airport ,Chhatrapati Shivaji International Airport,3900,29.0,30.0
3.6,1401,3,3175,False,False,False,False,False,True,False,False,False,False,True,Hotel Columbus,Near Mumbai Airport ,Chhatrapati Shivaji International Airport,1500,29.0,30.0
3.9,985,3,6972,False,False,False,False,False,True,False,False,False,False,True,Sea Green South Hotel,Churchgate ,Chhatrapati Shivaji International Airport,23440,29.0,30.0
4.3,683,4,7264,False,False,False,False,False,True,False,True,False,False,False,Hotel Suba International,Near Mumbai Airport ,Chhatrapati Shivaji International Airport,2000,29.0,30.0
3.8,123,3,717,False,False,False,False,False,True,False,False,False,False,True,Classic Dormitory,Andheri East ,Chhatrapati Shivaji International Airport,3500,29.0,30.0
4.2,3937,5,15367,False,False,False,False,False,True,False,False,False,False,True,The Resort Mumbai,Madh,Indira Gandhi International Airport,4400,29.0,30.0
3.7,384,4,7560,False,False,False,False,False,True,False,False,False,False,True,The Mirador,Near Mumbai Airport ,Chhatrapati Shivaji International Airport,3200,29.0,30.0
4.2,1587,4,5750,False,False,False,False,False,True,False,False,False,False,True,The Sahil Hotel,South Mumbai ,Chhatrapati Shivaji International Airport,20900,29.0,30.0
3.3,1154,3,5238,False,False,False,False,False,True,False,False,True,False,False,Avion Hotel,Near Mumbai Airport ,Chhatrapati Shivaji International Airport,1600,29.0,30.0
3.6,214,3,867,False,False,False,False,False,True,False,False,False,False,True,Blossom Dormitory ( For Male and Female),Sakinaka ,Chhatrapati Shivaji International Airport,3400,29.0,30.0
3.9,963,4,5865,False,False,False,False,False,True,False,False,False,False,True,Comfort Inn Heritage,South Mumbai,Kempegowda International Airport,8200,29.0,30.0
3.8,1064,3,4754,False,False,False,False,False,True,False,False,False,False,True,Hotel Planet Residency,Near Mumbai Airport ,Chhatrapati Shivaji International Airport,2200,29.0,30.0
4.1,2183,4,7565,False,False,False,False,False,True,False,False,False,False,True,Hotel Kohinoor Elite,Near Mumbai Airport ,Chhatrapati Shivaji International Airport,6100,29.0,30.0
4.0,1866,4,6038,False,False,False,False,False,True,False,False,False,False,True,Residency Hotel Andheri,Andheri East ,Chhatrapati Shivaji International Airport,3200,29.0,30.0
3.9,7647,5,5093,False,False,False,False,True,False,False,False,False,False,True,The Park Kolkata,New Market Area ,Netaji Subhash Chandra Bose International Airport,14210,50.0,25.0
3.8,8656,5,4841,False,False,False,False,True,False,False,False,False,False,True,"Zone By The Park, Kolkata",New Town,Indira Gandhi International Airport,4300,50.0,25.0
4.4,1527,5,8352,False,False,False,False,True,False,False,True,False,False,False,JW Marriott Hotel Kolkata,Tangra,Chhatrapati Shivaji International Airport,2600,50.0,25.0
3.9,2355,4,4880,False,False,False,False,True,False,False,False,False,False,True,ibis Kolkata Rajarhat - An Accor Brand,New Town,Indira Gandhi International Airport,5800,50.0,25.0
4.2,2486,5,7129,False,False,False,False,True,False,False,False,False,False,True,The Lalit Great Eastern Kolkata,Bow Barracks ,Netaji Subhash Chandra Bose International Airport,17670,50.0,25.0
4.5,3849,5,9624,False,False,False,False,True,False,False,True,False,False,False,ITC Royal Bengal - A Luxury Collection Hotel,Tangra,Indira Gandhi International Airport,2300,50.0,25.0
4.2,3026,5,2938,False,False,False,False,True,False,False,False,False,False,True,"Lemon Tree Premier, New Town, Kolkata",New Town,Chennai International Airport,7800,50.0,25.0
4.1,2827,5,5674,False,False,False,False,True,False,False,False,False,False,True,Novotel Kolkata Hotel and Residences,New Town,Netaji Subhash Chandra Bose International Airport,11100,50.0,25.0
3.7,688,3,2120,False,False,False,False,True,False,False,False,False,False,True,All Fresco Hotel,Baguiati ,Netaji Subhash Chandra Bose International Airport,5600,50.0,25.0
3.9,2055,4,3770,False,False,False,False,True,False,False,False,False,False,True,Regenta Orko's Kolkata,Kasba ,Netaji Subhash Chandra Bose International Airport,19800,50.0,25.0
4.1,1655,3,5962,False,False,False,False,True,False,False,False,False,False,True,"Holiday Inn Express, Kolkata Airport",Dum Dum ,Netaji Subhash Chandra Bose International Airport,1700,50.0,25.0
3.3,534,3,981,False,False,False,False,True,False,False,False,True,False,False,Himalayan Inn Guest House - Near TCS Gitobitan,Salt Lake City,Netaji Subhash Chandra Bose International Airport,1800,50.0,25.0
4.1,2486,5,5364,False,False,False,False,True,False,False,False,False,False,True,Holiday Inn Kolkata Airport,Chinar Park ,Netaji Subhash Chandra Bose International Airport,4700,50.0,25.0
4.4,1556,5,6402,False,False,False,False,True,False,False,True,False,False,False,"Taj City Centre New Town, Kolkata",Rajarhat ,Netaji Subhash Chandra Bose International Airport,5800,50.0,25.0
4.4,2031,5,6506,False,False,False,False,True,False,False,True,False,False,False,"Vivanta Kolkata, EM Bypass",East Kolkata Township,Indira Gandhi International Airport,4600,50.0,25.0
4.2,1426,5,6474,False,False,False,False,True,False,False,False,False,False,True,Hyatt Regency Kolkata,Salt Lake City ,Netaji Subhash Chandra Bose International Airport,12340,50.0,25.0
4.7,1268,5,9244,False,False,False,False,True,False,False,True,False,False,False,The Oberoi Grand,New Market Area ,Netaji Subhash Chandra Bose International Airport,14930,50.0,25.0
4.1,2332,4,3342,False,False,False,False,True,False,False,False,False,False,True,"Fairfield by Marriott, Kolkata",New Town,Indira Gandhi International Airport,8500,50.0,25.0
4.0,3211,3,3570,False,False,False,False,True,False,False,False,False,False,True,Ethnotel,Dum Dum ,Netaji Subhash Chandra Bose International Airport,1700,50.0,25.0
3.8,417,3,1102,False,False,False,False,True,False,False,False,False,False,True,Backpackers Park Hostel @ParkStreet,New Market Area ,Netaji Subhash Chandra Bose International Airport,14150,50.0,25.0
4.4,2067,5,7067,False,False,False,False,True,False,False,True,False,False,False,THE WESTIN KOLKATA RAJARHAT,New Town ,Netaji Subhash Chandra Bose International Airport,9300,50.0,25.0
4.6,1165,5,8495,False,False,False,False,True,False,False,True,False,False,False,"Taj Bengal, Kolkata",Alipore,Chhatrapati Shivaji International Airport,2500,50.0,25.0
3.9,1943,4,4732,False,False,False,False,True,False,False,False,False,False,True,Hotel Senses,Salt Lake City ,Netaji Subhash Chandra Bose International Airport,10400,50.0,25.0
4.4,2325,5,8068,False,False,False,False,True,False,False,True,False,False,False,ITC Sonar - A Luxury Collection Hotel,Tangra,Indira Gandhi International Airport,10,50.0,25.0
4.3,669,4,6781,False,False,False,False,True,False,False,True,False,False,False,Kenilworth Hotel,Park Street Area,Netaji Subhash Chandra Bose International Airport,16300,50.0,25.0
3.9,3539,4,5041,False,False,False,False,True,False,False,False,False,False,True,The Peerless Inn,Near Howrah Train Station ,Netaji Subhash Chandra Bose International Airport,17470,50.0,25.0
3.9,1260,4,3606,False,False,False,False,True,False,False,False,False,False,True,De Sovrani,Salt Lake City,Chhatrapati Shivaji International Airport,4500,50.0,25.0
3.9,1861,5,3136,False,False,False,False,True,False,False,False,False,False,True,"Pride Plaza Hotel, Kolkata",New Town,Chhatrapati Shivaji International Airport,3200,50.0,25.0
4.6,77,3,934,False,False,False,False,True,False,False,True,False,False,False,"City Central Hostel, Kolkata",Kolkata ,Netaji Subhash Chandra Bose International Airport,13500,50.0,25.0
4.0,2312,4,3467,False,False,False,False,True,False,False,False,False,False,True,Siamton Inn - A Cygnett Collection,Park Street ,Netaji Subhash Chandra Bose International Airport,14010,50.0,25.0
4.1,1658,4,5600,False,False,False,False,True,False,False,False,False,False,True,Hotel Aauris,Park Street ,Netaji Subhash Chandra Bose International Airport,14430,50.0,25.0
3.9,1150,4,4326,False,False,False,False,True,False,False,False,False,False,True,"Howard Johnson by Wyndham, Kolkata Airport",Chinar Park ,Netaji Subhash Chandra Bose International Airport,3600,50.0,25.0
3.8,2036,3,4658,False,False,False,False,True,False,False,False,False,False,True,Park Prime Kolkata,Ballygunge,Indira Gandhi International Airport,4600,50.0,25.0
4.7,54,3,2828,False,False,False,False,True,False,False,True,False,False,False,Joey's Nest,Salt Lake City ,Netaji Subhash Chandra Bose International Airport,9500,50.0,25.0
3.6,1907,5,5112,False,False,False,False,True,False,False,False,False,False,True,Hotel Hindusthan International,Bhowanipore,Chhatrapati Shivaji International Airport,3100,50.0,25.0
4.1,1551,3,3360,False,False,False,False,True,False,False,False,False,False,True,Hotel Niharika,Elgin,Chhatrapati Shivaji International Airport,24000,50.0,25.0
4.0,3761,4,4632,False,False,False,False,True,False,False,False,False,False,True,Vedic Village Spa Resort,Vedic Village,Indira Gandhi International Airport,2300,50.0,25.0
3.6,1471,3,1781,False,False,False,False,True,False,False,False,False,False,True,Park Palace Hotel,Ballygunge,Netaji Subhash Chandra Bose International Airport,4100,50.0,25.0
4.3,92,3,1149,False,False,False,False,True,False,False,True,False,False,False,Offbeat CCU Bunkers,Topsia,Netaji Subhash Chandra Bose International Airport,15800,50.0,25.0
3.9,1744,4,4378,False,False,False,False,True,False,False,False,False,False,True,Monotel Luxury Business Hotel,Salt Lake City,Chhatrapati Shivaji International Airport,5600,50.0,25.0
3.9,1658,4,3761,False,False,False,False,True,False,False,False,False,False,True,AIRPORT CITY HOTEL,Birati ,Netaji Subhash Chandra Bose International Airport,2000,50.0,25.0
3.5,1990,3,3617,False,False,False,False,True,False,False,False,False,False,True,The Lindsay,New Market Area ,Netaji Subhash Chandra Bose International Airport,14870,50.0,25.0
4.0,547,3,2720,False,False,False,False,True,False,False,False,False,False,True,RituIvy,East Kolkata Township,Indira Gandhi International Airport,1800,50.0,25.0
3.8,826,4,3439,False,False,False,False,True,False,False,False,False,False,True,Hotel O2 Oxygen,Near Kolkata Airport ,Netaji Subhash Chandra Bose International Airport,2100,50.0,25.0
3.8,1058,3,2581,False,False,False,False,True,False,False,False,False,False,True,VISITEL - A BOUTIQUE HOTEL,Kankurgachi,Netaji Subhash Chandra Bose International Airport,2200,50.0,25.0
3.9,277,3,2514,False,False,False,False,True,False,False,False,False,False,True,IndiSmart Hotel,Salt Lake City,Netaji Subhash Chandra Bose International Airport,13400,50.0,25.0
4.0,461,3,4009,False,False,False,False,True,False,False,False,False,False,True,LYNQ AERO,Salt Lake City,Netaji Subhash Chandra Bose International Airport,56700,50.0,25.0
3.7,19,3,1360,False,False,False,False,True,False,False,False,False,False,True,"Park Guest House, Kolkata",Park Street ,Netaji Subhash Chandra Bose International Airport,14140,50.0,25.0
3.6,1448,3,3132,False,False,False,False,True,False,False,False,False,False,True,Regenta Inn Larica,Chinar Park ,Netaji Subhash Chandra Bose International Airport,4100,50.0,25.0
4.1,1538,4,4542,False,False,False,False,True,False,False,False,False,False,True,Golden Tulip Kolkata,Salt Lake City,Chhatrapati Shivaji International Airport,3200,50.0,25.0
4.3,1016,3,3024,False,False,False,False,True,False,False,True,False,False,False,The Senator,Elgin,Netaji Subhash Chandra Bose International Airport,16100,50.0,25.0
4.2,832,3,3273,False,False,False,False,True,False,False,False,False,False,True,Gallery 67,Ghose Bagan ,Netaji Subhash Chandra Bose International Airport,9400,50.0,25.0
3.5,24,3,2415,False,False,False,False,True,False,False,False,False,False,True,CHOWDHURY'S ESTATES,Elgin,Netaji Subhash Chandra Bose International Airport,14140,50.0,25.0
4.0,2274,4,4425,False,False,False,False,True,False,False,False,False,False,True,Pipal Tree Hotel,Chinar Park ,Netaji Subhash Chandra Bose International Airport,4200,50.0,25.0
4.0,606,3,3037,False,False,False,False,True,False,False,False,False,False,True,Stayotel,Dum Dum ,Netaji Subhash Chandra Bose International Airport,1500,50.0,25.0
4.6,576,5,6217,False,False,False,False,True,False,False,True,False,False,False,"Raajkutir, Kolkata - IHCL SeleQtions",Kankurgachi ,Netaji Subhash Chandra Bose International Airport,12410,50.0,25.0
4.1,844,4,6170,False,False,False,False,True,False,False,False,False,False,True,The Sonnet,Salt Lake City,Netaji Subhash Chandra Bose International Airport,4000,50.0,25.0
3.7,262,4,2375,False,False,False,False,True,False,False,False,False,False,True,Aristocrat Hotel,New Town,Netaji Subhash Chandra Bose International Airport,14710,50.0,25.0
3.8,1051,3,3044,False,False,False,False,True,False,False,False,False,False,True,The Fern Residency Kolkata,Chinar Park ,Netaji Subhash Chandra Bose International Airport,4200,50.0,25.0
3.8,776,3,3720,False,False,False,False,True,False,False,False,False,False,True,Sapphire Suites,New Market Area ,Netaji Subhash Chandra Bose International Airport,14780,50.0,25.0
4.0,862,3,3108,False,False,False,False,True,False,False,False,False,False,True,Victoria Hotel,Chinar Park ,Netaji Subhash Chandra Bose International Airport,4000,50.0,25.0
3.3,608,3,2001,False,False,False,False,True,False,False,False,True,False,False,The Pearl Hotel,Beliaghata ,Netaji Subhash Chandra Bose International Airport,12440,50.0,25.0
4.2,933,4,5422,False,False,False,False,True,False,False,False,False,False,True,The Astor,Park Street Area,Chhatrapati Shivaji International Airport,2200,50.0,25.0
